Name,Normal Price (USD),Discounted Price (USD),Discount percentage (%),Rating (out of 5 stars),Review Count,Url
"AMAFACE True Wireless Earbuds, TWS Bluetooth in Ear Headphones Stereo Sound Earphones with 30H Playtime Charging Case Sweat Proof Dual Bluetooth 5.0 Headset with Built-in Mic for iPhone",39.99,39.99,0,4.3,309,https://www.amazon.com/AMAFACE-Wireless-Bluetooth-Headphones-Earphones/dp/B08SWPBS8R/ref=sr_1_33?keywords=tws&qid=1656433434&s=aht&sr=1-33
"Philips T3215 Wireless in-Ear Earbuds, TWS Bluetooth 5.1 Stereo Headphones, IPX4, Up to 24 (6+18) hrs of Playtime with USB-C Charging case - Pink (TAT3215PP)",89.99,71.33,21.0,4.2,116,https://www.amazon.com/Philips-TAT3215-Bluetooth-Wireless-Headphones/dp/B08CZZXWJ7/ref=sr_1_35?keywords=tws&qid=1656433434&s=aht&sr=1-35
Wireless Earbuds Cdrival TWS Bluetooth Headphones Touch Control | IPX8 Waterproof Highly Configured Bluetooth 5.0 Noise Cancelling Stereo Earphones | Built-in Mic Headset for Work Business Sport,39.99,39.99,0,4.0,53,https://www.amazon.com/Cdrival-Headphones-Waterproof-Configured-Cancelling/dp/B094HTSVFZ/ref=sr_1_36?keywords=tws&qid=1656433434&s=aht&sr=1-36
"Bluetooth Headphones,Wireless Earbuds with Charging Case TWS Bluetooth Headphones Bass Sound Earphones Touch Control in-Ear Headset,White",13.98,13.98,0,2.0,2,https://www.amazon.com/Bluetooth-Headphones-Wireless-Charging-Earphones/dp/B09YD1YV1V/ref=sr_1_37?keywords=tws&qid=1656433434&s=aht&sr=1-37
"RUSAM TWS BL31 A Enhanced Edition True Wireless Earbuds Bluetooth 5.2 Headphones Touch Control Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Music Game Sport,Black",27.99,27.99,0,5.0,1,https://www.amazon.com/RUSAM-Enhanced-Bluetooth-Headphones-Earphones/dp/B09WD1BZLJ/ref=sr_1_38?keywords=tws&qid=1656433434&s=aht&sr=1-38
"Gravastar Sirius Pro Wireless Earbuds, Bluetooth TWS Earbuds with 16 Hours Playtime, Deep Bass 3D Stereo, Headphones for iPhone/Android(War Damaged Gray)",149.95,149.95,0,3.9,185,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg2_1?ie=UTF8&adId=A04563483L8H1AXU6WISK&url=%2FGravastar-Wireless-Bluetooth-Playtime-Headphones%2Fdp%2FB09FYTY1SX%2Fref%3Dsr_1_39_sspa%3Fkeywords%3Dtws%26qid%3D1656433434%26s%3Daht%26sr%3D1-39-spons%26psc%3D1&qualifier=1656433434&id=4405316888249558&widgetName=sp_mtf
"Wireless Earbuds Bluetooth 5.0 TWS, Bluetooth Earbuds, Bluetooth Earphones True Wireless Earbuds, Earbud & in-Ear Headphones for Android & iOS & PC IPX5 Waterproof w 2600mAh Power Bank",49.99,49.99,0,0,0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg2_1?ie=UTF8&adId=A06498451OC6JP8P1Q6QU&url=%2FWireless-Bluetooth-Earphones-Headphones-Waterproof%2Fdp%2FB09YGKFWKX%2Fref%3Dsr_1_40_sspa%3Fkeywords%3Dtws%26qid%3D1656433434%26s%3Daht%26sr%3D1-40-spons%26psc%3D1&qualifier=1656433434&id=4405316888249558&widgetName=sp_mtf
JBL Tune 130NC TWS True Wireless in-Ear Noise Cancelling Headphones - Blue,99.95,79.95,20.0,4.1,208,https://www.amazon.com/JBL-130NC-Wireless-Cancelling-Headphones/dp/B09JBG5JV3/ref=sr_1_41?keywords=tws&qid=1656433434&s=aht&sr=1-41
TS?200 Transparent Wireless Bluetooth Earbuds TWS in?Ear Physical Noise Reduction Headset True Wireless Earphones Earbuds with Mic,11.54,11.54,0,0,0,https://www.amazon.com/Transparent-Wireless-Bluetooth-Reduction-Earphones/dp/B093DHT3BX/ref=sr_1_42?keywords=tws&qid=1656433434&s=aht&sr=1-42
"True Wireless Earbuds, DB DEGBIT IPX7 Waterproof Bluetooth 5.0 Wireless Headphones with Microphone Charging Case 35H Playtime in-Ear TWS Earphones Hi-Fi Stereo Sound Headset for Workout Running Travel",23.99,23.99,0,4.0,2803,https://www.amazon.com/DB-DEGBIT-Waterproof-Headphones-Microphone/dp/B088M5RB5M/ref=sr_1_44?keywords=tws&qid=1656433434&s=aht&sr=1-44
